Word	Romanised Word	Pronunciation	Variant Number	Comments
অল-	al-	O l	0	
অলপ	alp	O . l O p	0	
অলপকে	alpke2	O . l O . p O . k E / O . l O p . k E 	0	
অলপদেৰি	alpde2rI2	O . l O  p . d e . r i	0	
অলপমান	alpmA2n	O . l O p . m a n	0	
অশোক	aSo2k	O . x U k	0	
অশোকৰ-	aSo2kr-	O . x U . k O r	0	
অসম	asm	O . x O m	0	
অসমতে	asmte2	O . x O . m O . t E	0	
অসমী	asmi2	O . x O . m i	0	
অসমীয়া	asmi2yA2	O . x O . m i . j a	0	
অসমৰ	asmr	O . x O . m O r	0	
অসমৰেএনেকুৱা	asmre2ene2kU2wA2	O . x O . m O  r # E . n e . k u . w a	0	
অসুখ	asU2K	o . x u K	0	
অসুবিধা	asU2bI2DA2	o . x u . b i . D a	0	
অস্থায়ীভাবে	as+TA2yi2BA2be2	Os . T a . j i . B a . b E	0	
অহ	ah	O h	0	
অহা	ahA2	O . h a	0	
অহা-যোৱা	ahA2-Yo2wA2	O . h a # z U . w a	0	
অহাই	ahA2I	O . h a i	0	
অহাকালি	ahA2kA2lI2	O . h a . k a . l i	0	
অহাকালিৰ	ahA2kA2lI2r	O . h a . k a . l i r	0	
অহাটো	ahA2t`o2	O . h a . t U	0	
অহাবাৰো	ahA2bA2ro2	O . h a . b a . r U	0	
অাই	aA2I	O a i	0	
অৰিজিনেল	arI2jI2ne2l	o . r i . z i . n E l	0	
অৰুণাচলৰ	arU2n`A2clr	o . r u . n a . s O . l O r	0	
অৰূপ	aru2p	o. r u p	0	
অৰূপদা	aru2pdA2	o . r u p . d a	0	
অৰূপদাই	aru2pdA2I	o . r u p . d a i	0	
অৰেলটোহে	are2lt`o2he2	O . r E . l O  t . h E	0	
অৰ্থ	ar+T	O r . T O	0	
অৰ্নব	ar+nb	O r . n O b	0	
অৱতাৰে	awtA2re2	O . b O . t a . r E	0	
অৱদান	awdA2n	O . b O . d a n	0	
অৱনতি	awntI2	O . b O . n o . t i	0	
অৱস্থা	aws+TA2	O . b O s . T a	0	
অৱস্থাৰ	aws+TA2r	O . b O s . T a r	0	
অৱৰোধ	awro2D	O . b O . r U D	0	
আ	A	a	0	
আ-	A-	a	0	
আঁ	AM	a ~	0	
আঁঠ	AMT`	a ~ T	0	
আঁঠুৰ	AMT`U2r	a ~ T u r / aTur	0	
আঁৰি	AMrI2	a ~ r i	0	
আই	AI	a i	0	
আইজনী	AIjni2	a i . z O . n i	0	
আইডিয়া	AId`I2yA2	a i . d i . j a	0	
আইতাক	AItA2k	a i . t a k	0	
আইতাহঁতৰ	AItA2hMtr	a i . t a . h O ~ t O r	0	
আইতাৰ	AItA2r	a i . t a r	0	
আইৰ	AIr	a i r	0	
আক	Ak	a k	0	
আকৌ	Ako4	a . k ou	0	
আগত	Agt	a . g O t	0	
আগতীয়াকেই	Agti2yA2ke2I	a . g o . t i . j a . k e i	0	
আগতীয়াকৈ	Agti2yA2ke4	a . g o . t i . j a . k oi	0	
আগতে	Agte2	a . g O . t E	0	
আগদিনা	AgdI2nA2	a g d i . n a	0	
আগবাঢ়ি	AgbA2r`I2	a g . b a . r` i	0	
আগবঢ়াই	Agbr`A2I	a g . b O . r` a i	0	
আগলৈ	Agle4	a . g o . l oi	0	
আগুৱাই	AgU2wA2I	a . g u . w a i	0	
আগে	Age2	a . g E	0	
আগেয়ে	Age2ye2	a . g E . j E	0	
আগৰ	Agr	a . g O r	0	
আগৰখিনি	AgrKI2nI2	a . g O  r . K i . n i	0	
আঙুলিকেইটা	ANU2lI2ke2It`A2	a N . u . l i . k e i . t a	0	
আঙ্কল	AN+kl	a N . k O l	0	
আচলতে	Aclte2	a . s O . l O . t E	0	
আচ্ছা	Ac+CA2	a s . s a	0	
আছ	AC	a s	0	
আছনে	ACne2	a . s O . n E	0	
আছা	ACA2	a . s a	0	
আছিল	ACI2l	a . s i l	0	
আছিলচোন	ACI2lco2n	a . s i l. s U n	0	
আছিলা	ACI2lA2	a . s i . l a	0	
আছিলি	ACI2lI2	a . s i . l i	0	
আছিলে	ACI2le2	a . s i . l E	0	
আছিলো	ACI2lo2	a . s i . l u	0	
আছে	ACe2	a . s E	0	
আছেই	ACe2I	a . s e i	0	
আছেতো	ACe2to2	a . s E . t U	0	
আছেনে	ACe2ne2	a . s E . n E	0	
আছো	ACo2	a . s U	0	
আছোঁ	ACo2M	a . s U ~	0	
আছোতো	ACo2to2	a . s U . t U	0	
আজি	AjI2	a . z i	0	
আজিকালি	AjI2kA2lI2	a . z i . k a . l i	0	
আজিতো	AjI2to2	a . z i . t u	0	
আজিলৈকো	AjI2le4ko2	a . z i . l oi . k u	0	
আজিহে	AjI2he2	a . z i . h E	0	
আজিৰ	AjI2r	a . z i r	0	
আজিৰটোত	AjI2rt`o2t	a . z i r  . t U t	0	
আটক-ধুনীয়া	At`k-DU2ni2yA2	a . t O k  # D u . n i . j a	0	
আঠ	AT`	a T ~	0	
আঠচল্লিছ	AT`cl+lI2C	a T ~ . s o l . l i s	0	
আঠটা	AT`t`A2	a . T O . t a/ a T ~ . t a	0	
আঠত্ৰিছ	AT`t+rI2C	a~ . T O . t r i s	0	
আঠশ	AT`S	a ~ T . xO	0	
আঠষষ্ঠি	AT`s`s`+T`I2	a . T  . x O s . T i	0	
আঠানব্বৈ	AT`A2nb+be4	a ~. T a  n.  O b . b oi	0	
আঢ্যৱন্ত	AD`+Ywn+t	a D . j O . w O n t O	0	
আণ্টিৰ	An`+t`I2r	a n . t i r	0	
আতা	AtA2	a . t a	0	
আত্মসাৎ	At+msA2t2	a t . m O . x a t	0	
আদি	AdI2	a . d i	0	
আধা	ADA2	a . D a	0	
আধাঘণ্টামান	ADA2Gn`+t`A2mA2n	a . D a . G O n . t a . m a n	0	
আধাতো	ADA2to2	a . D a . t U	0	
আধৰুৱা	ADrU2wA2	a . D o . r u . w a	0	
আন	An	a n	0	
আনল'ড	Anl'd`	a n . l O d	0	
আনি	AnI2	a . n i	0	
আনিব	AnI2b	a . n i . b O	0	
আনিবলে	AnI2ble2	a . n i . b o . l e	0	
আনিলে	AnI2le2	a . n i . l E	0	
আনিলো	AnI2lo2	a . n i . l u	0	
আন্টিয়ে	An+t`I2ye2	a n . t i . j E	0	
আন্টিৰ	An+t`I2r	a n . t i r	0	
আন্ধাৰ	An+DA2r	a n . D a r	0	
আপ	Ap	a p	0	
আপত্তি	Apt+tI2	a . p o t . t i	0	
আপনে	Apne2	a p . n E	This is not an Assamese word. Probably from Hindi?	
আপুনি	ApU2nI2	a . p u . n i	0	
আপোনাক	Apo2nA2k	a . p U . n a k	0	
আপোনালোকে	Apo2nA2lo2ke2	a . p U . n a . l U . k E	0	
আপোনালোকেও	Apo2nA2lo2ke2o	a . p U . n a . l U. k e u	0	
আপোনালোকৰ	Apo2nA2lo2kr	a . p U . n a . l U . k O r	0	
আপোনাৰ	Apo2nA2r	a . p U . n a r	0	
আফ্ৰিকাৰ	AP+rI2kA2r	a P . r i . k a r	0	
আবুধাবি	AbU2DA2bI2	a . b u # D a . b i	0	
আবে	Abe2	a . b e	0	
আমগুৰি	AmgU2rI2	a . m . g u . r i	0	
আমন-অনিয়মীয়াকৈ	Amn-anI2ymi2yA2ke4	a . m O . n  # O . n i . j o . m i . j a . k oi	0	
আমাক	AmA2k	a . m a k	0	
আমাৰ	AmA2r	a . m a r	0	
আমি	AmI2	a . m i	0	
আমিতো	AmI2to2	a . m i . t u	0	
আমিনো	AmI2no2	a . m i . n U	0	
আলহি	AlhI2	a . l o . h i	0	
আলহী	Alhi2	a . l o . h i	0	
আলিত	AlI2t	a . l i t	0	
আলিৰ	AlI2r	a . l i r	0	
আলোচনী	Alo2cni2	a . l U . s O . n i	0	
আল্লাৰ	Al+lA2r	a l . l a r	0	
আশ্চৰ্য্যৰ	AS+cr+Y+Yr	a s. s o i  r . z O r	0	
আহ	Ah	a h	0	
আহা	AhA2	a . h a	0	
আহাই	AhA2I	a . h a i	0	
আহাৰ	AhA2r	a . h a r	0	
আহি	AhI2	a . h i	0	
আহি-	AhI2-	a . h i	0	
আহিছ	AhI2C	a . h i s O	0	
আহিছা	AhI2CA2	a . h i . s a	0	
আহিছিল	AhI2CI2l	a . h i . s i l	0	
আহিছিলে	AhI2CI2le2	a . h i . s i . l E	0	
আহিছিলো	AhI2CI2lo2	a . h i . s i . l u	0	
আহিছে	AhI2Ce2	a . h i . s E	0	
আহিছেতো	AhI2Ce2to2	a . h i . s e . t u / a . hi. s E . t U	0	
আহিছো	AhI2Ce2A2	a . h i . s U / a . h i . s u 	0	
আহিছো	AhI2Co2	a . h i . s u	repeat of 225	
আহিব	AhI2b	a . h i . b O 	0	
আহিবতো	AhI2bto2	a . h i . b O . t U	0	
আহিবলে	AhI2ble2	a . h i . b o . l e	0	
আহিবলৈ	AhI2ble4	a . h i . b o . l oi	0	
আহিবা	AhI2bA2	a . h i . b a	0	
আহিবি	AhI2bI2	a . h i . b i	0	
আহিবিনে	AhI2bI2ne2	a . h i . b i . n E	0	
আহিম	AhI2m	a . h i m	0	
আহিল	AhI2l	a . h i l	0	
আহিলে	AhI2le2	a . h i . l E	0	
আহিলেই	AhI2le2I	a . h i . l e i	0	
আহিলেহে	AhI2le2he2	a . h i . l E . h E	0	
আহিলো	AhI2lo2	a . h i . l u	0	
আহিয়েই	AhI2ye2I	a . h i . j e i	0	
আহে	Ahe2	a . h E	0	
আহেই	Ahe2I	a . h e i	0	
আহেতো	Ahe2to2	a . h E . t U	0	
আহো	Ahe2A2	a . h U ~	spelling must be with nasalization	
আহোতে	Ahe2A2te2	a . h U ~ . t E	spelling must be with nasalization	
আঢ়ৈ	Ar`e4	a . r` oi	0	
আয়ে	Aye2	a . j E	0	
আৰ	Ar	a r	0	
আৰম্ভ	Arm+B	a . r O m .  B O	0	
আৰাম	ArA2m	a . r a m	0	
আৰামছে	ArA2mCe2	a . r a . m . s E	0	
আৰামী-চকীৰপৰা	ArA2mi2-cki2rprA2	a . r a . m i # s o . k i  r  . p O . r a	0	
আৰু	ArU2	a . r u	0	
আৰে	Are2	a . r E	0	
আৰ্শীবাদ	Ar+Si2bA2d	a . x i r . b a d	0	
আৱাজ	AwA2j	a . w a z	0	
ই	I	i	0	
ইংলিছ	IWlI2C	i N . l i s	0	
ইংলিছত	IWlI2Ct	i N . l i . s O t	0	
ইংলেণ্ড	IWle2n`+d`	i N . l E n d	0	
ইউজ	IUj	i u z	0	
ইকিখন	IkI2Kn	i . k i . K O n	0	
ইচ্	Ic+	i s	0	
ইচ্ছা	Ic+CA2	i s . s a	0	
ইচ্ছা-অনিচ্ছাৰ	Ic+CA2-anI2c+CA2r	i s . s a # O . n i s . s a r	0	
ইঞ্জিন	IJ+jI2n	i n . z i n	0	
ইঞ্জিনতো	IJ+jI2nto2	i n . z i . n O . t U / i n . z i . n O . t U 	ইঞ্জিনটো	
ইটা	It`A2	i . t a	0	
ইটানগৰ	It`A2ngr	i . t a . n O . g O r	0	
ইটো	It`o2	i . t u	0	
ইণ্টাৰনেট	In`+t`A2rne2t`	i n . t a  r . n E t	0	
ইণ্টাৰনেটত	In`+t`A2rne2t`t	i n . t a r . n E . t O t	0	
ইণ্টাৰভিউ-চিণ্টাৰভিউ	In`+t`A2rBI2U-cI2n`+t`A2rBI2U	i n . t a r . B i u # s i n . t a  r . B i u	0	
ইণ্ডিয়া	In`+d`I2yA2	i n . d i . j a	0	
ইনক্ৰিজ	Ink+rI2j	i n . k r i z	0	
ইন্দ্ৰজিৎ	In+d+rjI2t2	i n . d r O . z i t	0	
ইফাল	IPA2l	i . P a l	0	
ইফালে	IPA2le2	i . P a . l E	0	
ইফালৰ	IPA2lr	i . P a . l O r	0	
ইভিনিং	IBI2nI2W	i . B i . n i N	0	
ইমান	ImA2n	i . m a n	0	
ইমাৰ্জেন্সিত	ImA2r+je2n+sI2t	i . m a r . z E n . s i t	0	
ইস	Is	i x	0	
ইহঁত	IhMt	i . h O ~ t	0	
ইহঁতক	IhMtk	i . h O ~ t O k	0	
ইহঁতে	IhMte2	i . h O ~ t E	0	
ইহঁতেই	IhMte2I	i . h O ~ t e i	0	
ইহঁতেও	IhMte2o	i . h O ~ t e u	0	
ইহঁতৰ	IhMtr	i . h O ~ t O r	0	
ইহলীলা	Ihli2lA2	i . h O . l i . l a	0	
ইয়া	IyA2	i . j a	0	
ইয়াক	IyA2k	i . j a k	0	
ইয়াত	IyA2t	i . j a t	0	
ইয়াতে	IyA2te2	i . j a . t E	0	
ইয়াতো	IyA2to2	i . j a . t U	0	
ইয়ালে	IyA2le2	i . j a . l E	0	
ইয়াৰ	IyA2r	i . j a r	0	
ইয়াৰত	IyA2rt	i . j a . r O t	0	
ইয়া‌তে	IyA2‌te2	i . j a . t E	0	
ইয়ে	Iye2	i . j E	0	
ইয়েই	Iye2I	i . j e i	0	
ইয়েছ	Iye2C	i . j E s	0	
ঈদ	id	i d	0	
উ	U	u	0	
উকিলকতো	UkI2lkto2	u . k i . l O k . t U	0	
উচিত	UcI2t	u . s i t	0	
উচ্চ	Uc+c	u s. s O	0	
উছৰ্গা	UCr+gA2	u . s O r . g a	0	
উঠা	UT`A2	u . T a	0	
উঠি	UT`I2	u . T i	0	
উঠিছো	UT`I2Co2	u . T i . s u	0	
উঠিল	UT`I2l	u . T i l	0	
উঠিলে	UT`I2le2	u . T i . l E	0	
উঠে	UT`e2	u . T E	0	
উদান্ত	UdA2n+t	u . d a n . t O	0	
উদ্দেশ্য	Ud+de2S+Y	u d . d E s . j O	0	
উদ্ধৱ	Ud+Dw	u d . D O b	0	
উদ্বুদ্ধ	Ud+bU2d+D	u d . b u d . D O	0	
উনৈশ	Une4S	u . n oi s	0	
উন্নৈশ	Un+ne4S	u n . n oi s	0	
উপযোগী	UpYo2gi2	u . p O . z u . g i	0	
উপস্থিত	Ups+TI2t	u . p o s . T i t	0	
উপস্যা-	Ups+YA2-	u . p O s. j a	0	
উপা-	UpA2-	u . p a	0	
উপায়	UpA2y	u . p a i	0	
উপায়ুক্তৰ	UpA2yU2k+tr	u . p a . j u k . t O r	0	
উভতি	UBtI2	u . B o . t i	0	
উম	Um	u m	0	
উমানন্দৰ	UmA2nn+dr	u . m a . n O n . d O r	0	
উলিয়াই	UlI2yA2I	u . l i . j a i	0	
উল্টা	Ul+t`A2	U l . t a	0	
উৰাই	UrA2I	u . r a i	0	
উৰাইছো	UrA2ICo2	u . r a i . s O	0	
ঊনচল্লিশ	uncl+lI2S	u  n  . s o l . l i s	0	
ঊনপঞ্চাশ	unpJ+cA2S	u . n u . p O n . s a x	0	
ঊনসত্তৰ	unst+tr	u . n u . x o t . t o r	0	
ঊনৈছ	une4C	u . n oi s	0	
ঊনৈছশ	une4CS	u . n o i  s . x O	0	
ঊনৈশ	une4S	u . n oi s	0	
ঊন্নৈশ	un+ne4S	u n . n oi s	0	
এ	e	E	0	
এঁ	eM	E ~	0	
এঁ-	eM-	E ~	0	
এই	eI	E i	0	
এইকেইদিন	eIke2IdI2n	e i . k e i . d i n	0	
এইকেইদিনতে	eIke2IdI2nte2	e i . k e i . d i . n O . t E	0	
এইকেদিন	eIke2dI2n	e i . k e . d i n	0	
এইখন	eIKn	e i . K O n	0	
এইখিনি	eIKI2nI2	e i . K i . n i	0	
এইটো	eIt`o2	e i . t u	0	
এইটোক	eIt`o2k	e i . t u k	0	
এইটোত	eIt`o2t	e i . t o t	0	
এইদৰে	eIdre2	e i . d O . r E	0	
এইপিনে	eIpI2ne2	e i . p i . n E	0	
এইফালে	eIPA2le2	e i . P a . l E	0	
এইবাৰ	eIbA2r	e i . b a r	0	
এইবাৰো	eIbA2ro2	e i . b a . r U	0	
এইবিলাক	eIbI2lA2k	e i . b i . l a k	0	
এইমাত্ৰ	eImA2t+r	e i . m a t . r O	0	
এই্	eI+	e i +	0	
এইয়া	eIyA2	e i . j a	0	
এইয়াই	eIyA2I	e i . j a i	0	
এইৰ	eIr	e i r	0	
এওঁ	eoM	E U ~	0	
এওঁলোকৰ	eoMlo2kr	E U ~ l U . k O r	0	
এক	ek	E k	0	
একচল্লিশ	ekcl+lI2S	E k  . s o l . l i s	0	
একচাইডে	ekcA2Id`e2	E k  . s a i . d E	0	
একচিডেন্ট	ekcI2d`e2n+t`	E  k  . s i . d E n t	0	
একচেপ্ট	ekce2p+t`	E k . s E p t	0	
একজাম	ekjA2m	E  k  . z a m	0	
একত্ৰিছ	ekt+rI2C	E  k  . t r i s	0	
একত্ৰিশ	ekt+rI2S	E  k  . t r i s	0	
একদম	ekdm	E  k  . d O m	0	
একদমকে	ekdmke2	E k . d O m . k E	0	
একসত্তৰ	ekst+tr	E  k  . x o t . t o r	0	
একাশী	ekA2Si2	E . k a . x I ~	0	
একে	eke2	E . k E	0	
একেই	eke2I	e . k e i	0	
একেগেলি	eke2ge2lI2	E . k E . g e . l i	0	
একেডালে	eke2d`A2le2	E . k E . d a . l E	0	
একেবাৰে	eke2bA2re2	E . k E . b a . r E	0	
একেলগে	eke2lge2	E . k E . l O . g E	0	
একৈছ	eke4C	e . k oi s	0	
একো	eko2	E . k U	0	
এক্সট্ৰা	ek+st`+rA2	E k . s  t r a	0	
এক্সুৱেলি	ek+sU2we2lI2	E k . s u . w e . l i	0	
এক্সেল	ek+se2l	E k . s E l	0	
এখন	eKn	E . K O n	0	
এগৰাকী	egrA2ki2	E . g O . r a . k i	0	
এঘাৰ	eGA2r	E . G a . r O	0	
এঘাৰশ	eGA2rS	E . G a . r O . x O 	0	
এঘাৰশত	eGA2rSt	E . G a . r O . x O t	0	
এছ	eC	E s	0	
এছ'ছিয়ে-	eC'CI2ye2-	e . s o . s i . j E	0	
এজন	ejn	E . z O n	0	
এজনক	ejnk	E . z O . n O k	0	
এজনী	ejni2	E . z O . n i	0	
এটা	et`A2	E . t a	0	
এটাও	et`A2o	E . t a U	0	
এটাত	et`A2t	E . t a t	0	
এডমিট	ed`mI2t`	E d  . m i t	0	
এড্ৰেছটো	ed`+re2Ct`o2	E . d r E s  . t U	0	
এণ্ড	en`+d`	E n d	0	
এণ্ডিংটো	en`+d`I2Wt`o2	E n . d i N . t U	0	
এণ্ডিংটোত	en`+d`I2Wt`o2t	E n . d i N . t U t	0	
এণ্ডিঙত	en`+d`I2Nt	E n . d i N . O t	0	
এতিয়া	etI2yA2	e . t i . j a	0	
এতিয়াও	etI2yA2o	e . t i . j a U	0	
এতিয়াতো	etI2yA2to2	e . t i . j a . t U	0	
এতিয়ালৈকে	etI2yA2le4ke2	e . t i . j a . l oi . k E	0	
এতিয়াহে	etI2yA2he2	e . t i . j a . h E	0	
এদিন	edI2n	e . d i n	0	
এনিমেছনৰ	enI2me2Cnr	e . n i . m E . s O . n O r	0	
এনিমেনছ-	enI2me2nC-	e . n i . m E n  s	0	
এনে	ene2	E . n E	0	
এনে-	ene2-	E . n E	0	
এনেই	ene2I	e . n e i	0	
এনেইতো	ene2Ito2	e . n e i . t U	0	
এনেইহে	ene2Ihe2	e . n e i . h E	0	
এনেও	ene2o	e . n e u	0	
এনেকুৱা	ene2kU2wA2	u . n e . k u . w a	0	
এনেকুৱাই	ene2kU2wA2I	e . n e . k u . w a i	0	
এনেকুৱায়ে	ene2kU2wA2ye2	e . n e . k u . w a . j E	0	
এনেকে	ene2ke2	E . n E . k E	0	
এনেকেই	ene2ke2I	E . n E . k e i	0	
এনেকেতো	ene2ke2to2	E . n E . k E . t U	0	
এনেকৈ	ene2ke4	E . n E . k oi	0	
এনেতে	ene2te2	E . n E . t E	0	
এনেতো	ene2to2	E . n E . t U	0	
এনেয়ে	ene2ye2	e . n e . j E	0	
এনেয়েও	ene2ye2o	e . n e . j e u	0	
এন্ডি	en+d`I2	E n . d i	0	
এন্ডিক	en+d`I2k	E n . d i k	0	
এন্ডিকো	en+d`I2ko2	E n . d i . k u	0	
এন্ডিয়ে	en+d`I2ye2	E n . d i . j E	0	
এন্ডিয়েতো	en+d`I2ye2to2	E n . d i . j E . t U	0	
এন্ডিৰ	en+d`I2r	E n . d i r	0	
এন্ডিৰখন	en+d`I2rKn	E n . d i  r . K O n	0	
এপ্লিকেচন	ep+lI2ke2cn	E . p l i . k e . s O n	0	
এপ্ৰিল	ep+rI2l	e . p r i l	0	
এপ্ৰিলৰ	ep+rI2lr	e . p r i . l O r	0	
এফালৰপৰা	ePA2lrprA2	E . P a . l O  r . p O . r a	0	
এব'টন	eb't`n	E . b O . t O n	don't recognize this word	
এব-	eb-	E b	0	
এবাকচ	ebA2kc	E . b a . k O s	0	
এবাৰ	ebA2r	E . b a r	0	
এবাৰকৈ	ebA2rke4	E . b a  r . k oi	0	
এবাৰহে	ebA2rhe2	E . b a r  . h E	0	
এম	em	E m	0	
এমট্ৰনৰ	emt`+rnr	E m . t r O . n O r	0	
এমাহ	emA2h	E . m a h	0	
এল	el	E l	0	
এশ	eS	E x O	0	
এষষ্ঠী	es`s`+T`i2	E . x O s . T i	0	
এসত্তৰ	est+tr	E . x o  t . t o r	0	
এসপ্তাহ	esp+tA2h	E . x O p . t a h	0	
এসপ্তাহত	esp+tA2ht	E . x O p . t a . h O t	0	
এহ	eh	E h	0	
এয়া	eyA2	e . j a	0	
এয়াৰচেল	eyA2rce2l	e . j a  r  . s E l	0	
এয়াৰটেল	eyA2rt`e2l	e . j a  r  . t E l	0	
এয়াৰটেলৰ	eyA2rt`e2lr	e . j a r  . t e . l O r	0	
এৰি	erI2	e . r i	0	
এৰিতো	erI2to2	e . r i . t u	0	
এৰিলে	erI2le2	e . r i . l E	0	
এৰিয়াতো	erI2yA2to2	E . r i . j a . t U	0	
ঐ	e3	oi	0	
ঐশ্চৰ্য্যৰ	e3S+cr+Y+Yr	oi  . s O r . z O r	0	
ও	o	o	0	
ওঁ	oM	o ~	0	
ওঁহ	oMh	o ~ h	0	
ওঁহো	oMho2	o ~ h o	0	
ওখ	oK	U . K O	0	
ওচকো	ocko2	u s  . k o	Hindi	
ওচৰত	ocrt	U . s O . r O t	0	
ওচৰতে	ocrte2	U . s O . r O . t E	0	
ওঠৰ	oT`r	U ~. T  O. r O	0	
ওপৰত	oprt	U . p O . r O t	0	
ওপৰতে	oprte2	U . p O . r O . t E	0	
ওলাই	olA2I	U . l a i	0	
ওলাইছে	olA2ICe2	U . l a i . s E	0	
ওলাইছেও	olA2ICe2o	U . l a i . s E U	0	
ওলাব	olA2b	U . l a b O	0	
ওলাবৰে	olA2bre2	U . l a . b O . r E	0	
ওলালে	olA2le2	U . l a . l E	0	
ওলালেহে	olA2le2he2	U . l a . l E . h E	0	
ওলালোহে	olA2lo2he2	U . l a . l U . h E	0	
ওলায়	olA2y	U . l a j	0	
ওলোৱা	olo2wA2	U . l U . w a	0	
ওলোৱাৰ	olo2wA2r	U . l U . w a r	0	
ওহু	ohU2	o . h u	0	
ঔটেঙা	o3t`e2NA2	ou . t E N . a	0	
ঔষধ	o3s`D	ou . x O D	0	
ক	k	k	0	
ক'চোন	k'co2n	k O . s U n	0	
ক'ত	k't	k o t	0	
ক'তো	k'to2	k o . t u	0	
ক'ব	k'b	k o b O	0	
ক'বলগীয়া	k'blgi2yA2	k o . b o . l o . g i . j a	0	
ক'বলৈ	k'ble4	k o . b o . l oi	0	
ক'বা	k'bA2	k o . b a	0	
ক'ম	k'm	k O m	0	
ক'মে	k'me2	k O . m E	0	
ক'লাক	k'lA2k	k o . l a k	0	
ক'লে	k'le2	k o . l E	0	
ক'লৈ	k'le4	k o . l oi	0	
ক'ৰ	k'r	k o r	0	
ক'ৰবাত	k'rbA2t	k o r. b a t	0	
ক'ৰ্চ	k'r+c	k o r s	0	
ক'ৰ্চটো	k'r+ct`o2	k o r s  . t U	0	
ক-	k-	k	0	
কংগ্ৰেছৰ	kWg+re2Cr	k O N . g r e . s O r	0	
কইনাৰ	kInA2r	k i . n a r	0	
কওঁ	koM	k O U ~	0	
কওঁক	koMk	k O U ~ k	0	
কওঁকচোন	koMkco2n	k O U ~ k . s o n 	0	
কওঁতে	koMte2	k O U ~. t E	0	
কওক	kok	k OU k / kO k	0	
ককা	kkA2	k O . k a	0	
ককাই	kkA2I	k O . k a i	0	
ককাক	kkA2k	k O . k a k	0	
ককায়েকৰ	kkA2ye2kr	k O . k a . j E . k O r	0	
ককাৰ	kkA2r	k O . k a r	0	
ককৰোছ	kkro2C	k O  k  . r o s	0	
ককৰোছটো	kkro2Ct`o2	k O  k  . r o s  . t U	0	
